Country Name,Country Code,Year,unemployment,inflation,oil_rents,gdp_growth,exchange_rate
Algeria,DZA,1991,20.6,25.8863869348514,13.5417656312112,-1.2000005864423,18.472875
Algeria,DZA,1992,24.38,31.6696619117149,13.0452267711099,1.80000230253509,21.836075
Algeria,DZA,1993,26.23,20.5403261235827,11.7164360598656,-2.10000075697259,23.3454066666667
Algeria,DZA,1994,27.74,29.0476561173071,12.6865225216351,-0.899996552970833,35.0585008333333
Algeria,DZA,1995,31.84,29.7796264864999,14.1774813179102,3.79999479063817,47.6627266666667
Algeria,DZA,1996,28.268,18.6790758601749,16.3135923983909,4.09999847167964,54.7489333333333
Algeria,DZA,1997,25.43,5.73352275357187,14.7901349570278,1.09999993684249,57.70735
Algeria,DZA,1998,26.85,4.95016163793114,9.01756331973938,5.10000361107312,58.7389583333333
Algeria,DZA,1999,28.575,2.64551113392799,12.955667382787,3.20000155319546,66.573875
Algeria,DZA,2000,29.77,0.339163189071768,20.2038945100895,3.80000000158476,75.2597916666666
Algeria,DZA,2001,27.3,4.22598834854673,16.7197713612172,2.99999999863043,77.2150208333334
Algeria,DZA,2002,25.9,1.41830192345051,17.703706765696,5.40000000000001,79.6819
Algeria,DZA,2003,23.72,4.268953958395,19.6786326659537,6.50000000062043,77.394975
Algeria,DZA,2004,17.65,3.96180030257187,22.1269733272223,4.49999999976698,72.06065
Algeria,DZA,2005,15.27,1.38244656662118,27.9141141505655,5.39999999969525,73.2763083333333
Algeria,DZA,2006,12.27,2.31149918514424,29.5343935472454,2.89999999905852,72.6466166666667
Algeria,DZA,2007,13.79,3.67899574741699,27.9267087662485,3.10000000128674,69.2924
Algeria,DZA,2008,11.33,4.85859062814939,29.1086401323721,2.49999999929371,64.5828
Algeria,DZA,2009,10.16,5.73706036145628,19.9046263657492,1.19999999969519,72.6474166666667
Algeria,DZA,2010,9.96,3.91106195534028,21.9939993236664,4.80000000093564,74.3859833333333
Algeria,DZA,2011,9.96,4.5242115050527,25.0260096148481,2.99999999941909,72.9378833333333
Algeria,DZA,2012,10.97,8.89145091062317,22.6025382987382,2.40000000034432,77.5359666666667
Algeria,DZA,2013,9.82,3.25423910998847,20.8724313901278,2.60000000061164,79.3684
Algeria,DZA,2014,10.207,2.91692692067458,19.3167294732848,4.09999999866501,80.5790166666667
Algeria,DZA,2015,11.206,4.78444700693889,11.7459031918092,3.20000000089023,100.691433333333
Algeria,DZA,2016,10.202,6.39769480268757,10.0262189142963,3.90000000017621,109.443066666667
Algeria,DZA,2017,12.0,5.59111590961664,12.1565741270026,1.49999999895587,110.973016666667
Algeria,DZA,2018,12.112,4.26999020467084,15.9428081774505,1.40000000088281,116.593791666667
